Load More,Xem thêm
"Successfully imported {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","Đã nhập thành công {0} bản ghi trên {1} bản ghi. Bạn có thể nhấn ""Xem bản ghi lỗi"", sau đó sửa lại và nhập mới"
Retry,Thử lại
Export Errored Rows,Xuất dòng bị lỗi
Partial Success,Thành công một phần
Import File Errors and Warnings,Các lỗi và cảnh báo trong quá trình nhập dữ liệu
← Back to upload files,← Quay về phần nạp tài liệu
Asset Category,Nhóm tài sản
Standard Selling Rate,Giá bán tiêu chuẩn
Valuation Rate,Giá gốc
Opening Stock,Hàng tồn đầu kỳ
User Permission,Quyền người dùng
Per Transferred,Tỷ lệ đã chuyển
Is Return,Hàng bị hoàn
Supplier Name,Nhà cung cấp
Purpose,Lý do
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Nếu dữ liệu của bạn được viết bằng HTML, chỉnh sửa và đính kèm toàn bộ thẻ HTML trong văn bản"
Rate,Đơn giá
Add field,Thêm trường
Quality Inspection,Phiếu kiểm tra QC
Is Scrap Item,Là phụ phẩm
Is Finished Item,Là thành phẩm
Target Warehouse,Kho nhập
Source Warehouse,Kho xuất
Search or type a command ({0}),Tìm kiếm hoặc nhập lệnh ({0})
Type a reply / comment,Điền bình luận vào đây
New Email,Email mới
Activity,Hoạt động
Context,Ngữ cảnh
Expand,Mở rộng
Comments,Bình luận
You last edited this,Bạn mới cập nhật văn bản này
You created this,Bạn mới tạo văn bản này
{0} last edited this,{0} mới sửa đổi
{0} hours ago,{0} giờ trước
Translated Text,Văn bản sau dịch
Source Text,Văn bản gốc
Customize Form,Tùy chỉnh biểu mẫu
Are you sure you want to delete page {0}?,Xác nhận xóa trang **{0}**?
Template,Mẫu
Choose a block or continue typing,Chọn một khối chức năng hoặc tiếp tục gõ văn bản
Customizations Discarded,Tùy chỉnh đã bị hủy bỏ
Discard,Hủy chỉnh sửa
cyan,xanh ngọc
darkgrey,xám tối
light-blue,xanh dương nhạt
purple,tím
pink,hồng
red,đỏ
grey,bạc
yellow,vàng
orange,cam
blue,xanh nước biển
green,xanh lá cây
Indicator color,Màu hiển thị
Parent,Cha
Title,Tiêu đề
New Workspace,Không gian làm việc mới
Deleting {0} records...,Đang xóa {0} bản ghi...
Deleting {0}...,Đang xóa {0}...
Deleting {0},Đang xóa {0}
You can disable this {0} instead of deleting it.,Bạn có thể vô hiệu hóa {0} này thay vì xóa nó.
Are you sure you want to clear the assignments?,Xác nhận xóa phân công cho tài liệu này?
Filters {0},Đang lọc {0}
Refreshing,Đang làm mới
Refreshing...,Đang làm mới
Please refresh to get the latest document.,Vui lòng nhấn F5 hoặc Refresh lại tài liệu để cập nhật thay đổi.
